,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
221,"Medical, Illness & Healing",3940,150000,USD,3940.0,150000.0,2.626666666666667,"Created June 7, 2020",2020-06-07,US,125,false
222,"Medical, Illness & Healing",22415,40000,USD,22415.0,40000.0,56.037499999999994,"Created August 29, 2020",2020-08-29,US,152,false
223,"Medical, Illness & Healing",4031,5500,EUR,4794.4714,6541.7,73.2909090909091,"Created April 2, 2021",2021-04-02,US,102,false
224,"Medical, Illness & Healing",11526,25000,USD,11526.0,25000.0,46.104,"Created October 25, 2020",2020-10-25,US,120,false
225,"Medical, Illness & Healing",7196,18000,USD,7196.0,18000.0,39.97777777777778,"Created April 6, 2021",2021-04-06,US,67,false
226,Accidents & Emergencies,6507,15000,USD,6507.0,15000.0,43.38,"Created January 9, 2021",2021-01-09,US,92,false
227,"Medical, Illness & Healing",7527,30000,USD,7527.0,30000.0,25.09,"Created March 18, 2021",2021-03-18,US,63,false
228,Accidents & Emergencies,1797,30000,EUR,2137.3518,35682.0,5.989999999999999,"Created April 9, 2021",2021-04-09,US,45,false
229,"Medical, Illness & Healing",2353,5000,USD,2353.0,5000.0,47.06,"Created March 28, 2021",2021-03-28,US,43,false
230,Animals & Pets,2207,2500,USD,2207.0,2500.0,88.28,"Created December 18, 2020",2020-12-18,US,38,false
231,"Medical, Illness & Healing",360,3000,USD,360.0,3000.0,12.0,"Created September 28, 2020",2020-09-28,US,16,false
232,"Medical, Illness & Healing",973,4000,USD,973.0,4000.0,24.325,"Created August 19, 2020",2020-08-19,US,36,false
233,"Medical, Illness & Healing",1249,10000,USD,1249.0,10000.0,12.49,"Created October 8, 2020",2020-10-08,US,29,false
234,"Medical, Illness & Healing",1215,5000,USD,1215.0,5000.0,24.3,"Created August 30, 2020",2020-08-30,US,37,false
235,"Medical, Illness & Healing",2225,20000,USD,2225.0,20000.0,11.125,"Created April 6, 2021",2021-04-06,US,57,false
236,"Medical, Illness & Healing",3756,3734,USD,3756.0000000000005,3733.9999999999995,100.58918050348153,"Created December 19, 2020",2020-12-19,US,48,false
237,"Medical, Illness & Healing",2475,20000,USD,2474.9999999999995,20000.0,12.374999999999996,"Created March 30, 2021",2021-03-30,US,57,false
238,"Medical, Illness & Healing",796,1000,EUR,946.7624,1189.4,79.6,"Created March 13, 2021",2021-03-13,US,19,false
239,Accidents & Emergencies,561,2500,USD,561.0,2500.0,22.439999999999998,"Created February 24, 2020",2020-02-24,US,14,false
240,"Medical, Illness & Healing",708,32000,USD,708.0,32000.0,2.2125,Created 7 days ago,2021-04-13,US,15,false
241,"Medical, Illness & Healing",360,20000,USD,360.0,20000.0,1.7999999999999998,"Created April 7, 2021",2021-04-07,US,14,false
242,Accidents & Emergencies,490,3000,USD,490.0,3000.0,16.333333333333332,"Created February 23, 2021",2021-02-23,US,11,false
243,"Medical, Illness & Healing",325,5000,USD,325.0,5000.0,6.5,"Created March 16, 2021",2021-03-16,US,12,false
244,"Medical, Illness & Healing",255,5000,USD,255.0,5000.0,5.1,"Created March 20, 2021",2021-03-20,US,12,false
245,"Medical, Illness & Healing",950,8000,EUR,1129.93,9515.2,11.875,"Created April 8, 2021",2021-04-08,US,17,false
246,"Medical, Illness & Healing",785,7500,USD,785.0,7500.0,10.466666666666667,"Created March 26, 2021",2021-03-26,US,9,false
247,"Medical, Illness & Healing",330,4000,USD,330.0,4000.0,8.25,"Created December 27, 2020",2020-12-27,US,8,false
248,"Medical, Illness & Healing",520,35000,USD,520.0,35000.0,1.4857142857142858,"Created April 5, 2021",2021-04-05,US,10,false
249,Accidents & Emergencies,504,5000,USD,504.0,5000.0,10.08,"Created May 3, 2020",2020-05-03,US,18,false
