Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-09-10,4927.73497041598,3285.32411638266,7202.14230070556,1135.14286
2020-09-11,4841.24109277929,3195.75252272865,7116.22718852063,1098.57143
2020-09-12,4752.93511882126,3198.52256516407,7019.70690054998,1066.42857
2020-09-13,4663.09095510002,3113.4187131356,6948.96188111306,1035.85714
2020-09-14,4571.99949791671,3043.4954674536,6828.01401326005,1031.28571
2020-09-15,4479.9542834134,2999.18864175621,6660.49242114056,1013.14286
2020-09-16,4387.27443167182,2917.6009803212,6486.94484723468,952.14286
2020-09-17,4294.30619446524,2867.89776389976,6327.54767002112,923.0
2020-09-18,4201.39739225502,2794.73895153086,6168.05915441671,930.14286
2020-09-19,4108.89310957752,2728.24295926523,6029.51258968111,902.71429
2020-09-20,4017.13412364655,2670.83050811562,5881.66228929431,873.71429
2020-09-21,3926.39353559474,2604.71489822893,5733.25285487832,839.14286
2020-09-22,3836.92722915406,2551.08748650292,5623.67290353646,828.28571
2020-09-23,3748.95168433556,2504.49598999176,5431.72875543435,860.42857
2020-09-24,3662.64981875489,2439.04516453981,5301.44950886653,874.57143
2020-09-25,3578.21297876579,2399.95611914983,5225.07613954636,871.28571
2020-09-26,3495.8408458616,2348.12564934526,5087.91597484551,855.85714
2020-09-27,3415.69257761133,2296.52870467792,5011.65316001281,862.14286
2020-09-28,3337.90213234796,2265.4699747876,4909.04749867368,869.28571
2020-09-29,3262.58955519628,2210.31533777064,4752.87456311365,844.28571
2020-09-30,3189.83973764386,2156.57863521542,4620.2954750774,811.85714
2020-10-01,3119.7034815655,2117.16669223717,4452.86169208099,803.28571
2020-10-02,3052.1968798666,2063.36288627431,4372.0028723405,792.42857
2020-10-03,2987.30639887473,2015.21847046252,4268.85888295944,815.14286
2020-10-04,2925.01548041452,1978.72737600109,4182.21765570676,820.42857
2020-10-05,2865.32367353668,1920.98569549099,4053.92661527439,798.42857
2020-10-06,2808.22332199751,1918.7759903167,3959.22818207566,776.14286
2020-10-07,2753.69133080606,1877.36802355489,3889.02333434616,754.57143
2020-10-08,2701.70550645621,1825.89522987235,3875.32361983869,712.85714
2020-10-09,2652.25602611904,1796.43030088615,3809.94987757817,696.57143
2020-10-10,2605.32444760639,1743.62628138481,3706.360662069,686.71429
